oID	Oocyte.1_vs_cell64.128.2_adjp	cell64.128.2_vs_Sphere.3_adjp	Sphere.3_vs_Shield.4_adjp	Shield.4_vs_per75Epiboly.5_adjp	per75Epiboly.5_vs_dpf1.6_adjp	Oocyte.1_vs_cell64.128.2_p	cell64.128.2_vs_Sphere.3_p	Sphere.3_vs_Shield.4_p	Shield.4_vs_per75Epiboly.5_p	per75Epiboly.5_vs_dpf1.6_p	Oocyte.1_vs_cell64.128.2_LFC	cell64.128.2_vs_Sphere.3_LFC	Sphere.3_vs_Shield.4_LFC	Shield.4_vs_per75Epiboly.5_LFC	per75Epiboly.5_vs_dpf1.6_LFC	Accession	mitofates	targetp	accession	gene_id	gene_name	ID	uID
ENSDARP00000060309.6|atp5b	0.8531628211	0.7645363	0.6486572785	0.989188891	0.2783079	0.7265648	0.5109875	0.4206513	0.955236	0.1405298	0.07426628851598387	0.12307812037098566	0.17519692688423066	-0.012413724811116437	0.41355980494796263	ENSDARP00000060309.6	No mitochondrial presequence	mTP	ENSDARP00000060309	ENSDARG00000070083	atp5f1b.ENSDARP00000060309	ENSDARG00000070083	ENSDARG00000070083|atp5f1b.ENSDARP00000060309
XP_021326591.1|LOC110438452	0.2598495039	0.3327931	0.3791687335	0.950682286	0.9151159	0.05910253	0.06194699	0.1080855	0.7745664	0.8724622	-0.5771762867093448	-0.46949469303677777	-0.4166505887840661	-0.06566330671261486	-0.04317991425987892	XP_021326591.1	No mitochondrial presequence	noTP	NA	NA	LOC110438452	XP_021326591.1	XP_021326591.1|LOC110438452
ENSDARP00000027947.7|atp5a1	0.8378358185	0.7264878	0.7059001422	0.980908821	0.3037315	0.700499	0.4522749	0.5377639	0.882977	0.1644929	0.08118245397350764	0.14171552658542066	0.13320167330772603	-0.03265425033936658	0.3757701050571677	ENSDARP00000027947.7	Possessing mitochondrial presequence	mTP	ENSDARP00000027947	ENSDARG00000010149	atp5fa1.ENSDARP00000027947	ENSDARG00000010149	ENSDARG00000010149|atp5fa1.ENSDARP00000027947
ENSDARP00000118521.1|hspe1	0.3943314568	0.6958962	0.6494545277	0.864601532	0.341009	0.1684801	0.391712	0.4228263	0.5740925	0.2019415	0.3311600113488009	0.16503849526349526	0.1793480447424128	-0.13047030239416849	0.35829360100795754	ENSDARP00000118521.1	Possessing mitochondrial presequence	noTP	ENSDARP00000118521	ENSDARG00000056167	hspe1.ENSDARP00000118521	ENSDARG00000056167	ENSDARG00000056167|hspe1.ENSDARP00000118521
ENSDARP00000063661.4|mdh2	0.858465574	0.7960961	0.6194046598	0.958550002	0.2309439	0.7339839	0.5767673	0.3660241	0.8221999	0.1036475	0.07153639718225945	0.10526151870806874	0.2015888928698567	-0.05074327875491813	0.4625622742092581	ENSDARP00000063661.4	Possessing mitochondrial presequence	mTP	ENSDARP00000063661	ENSDARG00000043371	mdh2.ENSDARP00000063661	ENSDARG00000043371	ENSDARG00000043371|mdh2.ENSDARP00000063661
ENSDARP00000096504.3|slc25a5	0.713647129	0.853607	0.680931848	0.981027183	0.927704	0.5236412	0.6931044	0.4886305	0.9214963	0.8916703	0.1371906978566029	0.07315121356096141	0.15065845950566623	-0.02199566626696702	0.03467440634461016	ENSDARP00000096504.3	No mitochondrial presequence	noTP	ENSDARP00000096504	ENSDARG00000092553	slc25a5.ENSDARP00000096504	ENSDARG00000092553	ENSDARG00000092553|slc25a5.ENSDARP00000096504
ENSDARP00000073057.4|hspd1	0.7278089675	0.7765431	0.5654476806	0.981027183	0.4853644	0.5439154	0.5363301	0.2947634	0.8993534	0.3457556	0.14542542989435267	0.11706539668221858	0.2325443583940901	-0.02788497628042785	0.25153608188591764	ENSDARP00000073057.4	Possessing mitochondrial presequence	mTP	ENSDARP00000073057	ENSDARG00000056160	hspd1.ENSDARP00000073057	ENSDARG00000056160	ENSDARG00000056160|hspd1.ENSDARP00000073057
ENSDARP00000081676.5|atpif1;	0.3238129336	0.9543678	0.4907600643	0.935295917	0.5355874	0.1140661	0.8794818	0.2070435	0.735716	0.3962909	0.6013470124534157	-0.032574697810302256	0.4168827704456052	-0.10609664438386292	0.23719494989132517	ENSDARP00000081676.5	Possessing mitochondrial presequence	mTP	ENSDARP00000081676	ENSDARG00000067975	atp5if1a.ENSDARP00000081676	ENSDARG00000067975	ENSDARG00000067975|atp5if1a.ENSDARP00000081676
ENSDARP00000125277.1|LOC794625	0.6484968249	0.7617228	0.563788917	0.981027183	0.9846669	0.4430324	0.5076877	0.2879378	0.8974251	0.9773252	0.20751927065219616	0.1271698242485094	0.3135314455476595	0.04062004738154373	0.008595748669343713	ENSDARP00000125277.1	No mitochondrial presequence	noTP	ENSDARP00000125277	ENSDARG00000096003	atp5md.ENSDARP00000125277	ENSDARG00000096003	ENSDARG00000096003|atp5md.ENSDARP00000125277
ENSDARP00000055160.3|cox6b2	0.6472920758	0.7132823	0.6061828762	0.981027183	0.5077757	0.441678	0.4315325	0.3481652	0.9092507	0.3664878	0.17753961156133122	0.14867075869203342	0.20659918881527778	-0.02577626937642577	0.24245124019855538	ENSDARP00000055160.3	No mitochondrial presequence	noTP	ENSDARP00000055160	ENSDARG00000037860	cox6b2.ENSDARP00000055160	ENSDARG00000037860	ENSDARG00000037860|cox6b2.ENSDARP00000055160
ENSDARP00000102472.3|NA	0.2655571436	0.3392387	0.3876132988	0.958550002	0.9852792	0.06909227	0.06732706	0.1164699	0.8264059	0.9786689	-0.5179130356566957	-0.4625771087182175	-0.41959453933136054	-0.053712825467703215	-0.007332512182840497	ENSDARP00000102472.3	No mitochondrial presequence	SP	ENSDARP00000102472	ENSDARG00000112466	vtg7.ENSDARP00000102472	ENSDARG00000112466	ENSDARG00000112466|vtg7.ENSDARP00000102472
ENSDARP00000038172.5|cox6a1	0.4066205552	0.8536294	0.4364126694	0.989188891	0.25606	0.180041	0.6961587	0.1581591	0.9599849	0.1240517	0.3075471553943923	0.07282140745613984	0.3754631503424197	0.013357386044587022	0.5069561474508893	ENSDARP00000038172.5	Possessing mitochondrial presequence	mTP	ENSDARP00000038172	ENSDARG00000022438	cox6a1.ENSDARP00000038172	ENSDARG00000022438	ENSDARG00000022438|cox6a1.ENSDARP00000038172
ENSDARP00000007446.7|cox4i1	0.7836076915	0.669768	0.5133848763	0.981027183	0.5650094	0.6163975	0.35564	0.2335196	0.8867622	0.4285936	0.1144849757357914	0.17921578006403735	0.27258155595765243	0.03487211180049642	0.22339056785124584	ENSDARP00000007446.7	Possessing mitochondrial presequence	mTP	ENSDARP00000007446	ENSDARG00000032970	cox4i1.ENSDARP00000007446	ENSDARG00000032970	ENSDARG00000032970|cox4i1.ENSDARP00000007446
ENSDARP00000088019.4|NA	0.9202146843	0.9126508	0.4033682291	0.948097917	0.173878	0.8382765	0.8100726	0.1323053	0.7640847	0.05530727	0.047433635721226906	0.05812710112014085	0.4246528599963109	-0.07936797834431342	0.6649472655630086	ENSDARP00000088019.4	Possessing mitochondrial presequence	mTP	ENSDARP00000088019	ENSDARG00000028087	aldh2.2.ENSDARP00000088019	ENSDARG00000028087	ENSDARG00000028087|aldh2.2.ENSDARP00000088019
ENSDARP00000116544.1|NA	0.8468848015	0.8255711	0.3896613403	0.8451358	0.6289552	0.7138146	0.6358812	0.1220306	0.5364026	0.5014763	0.07733914692265964	0.08777231361713295	0.409044205044961	-0.1556449184955126	0.179896338335566	ENSDARP00000116544.1	No mitochondrial presequence	noTP	ENSDARP00000116544	ENSDARG00000015978	COX5B.ENSDARP00000116544	ENSDARG00000015978	ENSDARG00000015978|COX5B.ENSDARP00000116544
XP_009305061.1|LOC100332705;	0.7231866445	0.8720364	0.6398995833	0.989188891	0.2157329	0.5384349	0.7270072	0.4079431	0.9515471	0.09181666	0.1360812437382221	0.06543311193858473	0.1934216159655349	0.014405714745538744	0.48470137366104393	XP_009305061.1	Possessing mitochondrial presequence	mTP	XP_009305061	ENSDARG00000099579	aldh18a1.XP_009305061	ENSDARG00000099579	ENSDARG00000099579|aldh18a1.XP_009305061
ENSDARP00000135150.1|atp5h	0.6449001707	0.5819023	0.6275600359	0.932718392	0.2694961	0.4366055	0.2486946	0.3764861	0.7223456	0.1343674	0.17785161155305548	0.2509731079129039	0.21147969385208182	-0.08225073900246299	0.48470558226998706	ENSDARP00000135150.1	Possessing mitochondrial presequence	noTP	ENSDARP00000135150	ENSDARG00000098355	atp5pd.ENSDARP00000135150	ENSDARG00000098355	ENSDARG00000098355|atp5pd.ENSDARP00000135150
ENSDARP00000041699.7|NA	0.6846783212	0.7533955	0.6349269753	0.928861763	0.2189469	0.4887276	0.4954991	0.390981	0.7168937	0.09470691	0.1579788369318707	0.13941123371512498	0.19637571568083512	-0.08093865501407245	0.4871628899514853	ENSDARP00000041699.7	Possessing mitochondrial presequence	noTP	ENSDARP00000041699	ENSDARG00000032102	prdx3.ENSDARP00000041699	ENSDARG00000032102	ENSDARG00000032102|prdx3.ENSDARP00000041699
