Description	Name	Egg_1	Egg_2	Egg_3	2_1	2_2	2_3	4_1	4_2	4_3	6_1	6_2	6_3	8_1	8_2	8_3	24_1	24_2	24_3	Gene_stable_ID	Transcript_stable_ID	Protein_stable_ID	Transcript_name	Gene_Synonym	Gene_type	Gene_description
pep chromosome:GRCz11:11:13207898:13213059:1 gene:ENSDARG00000070083.6 transcript:ENSDART00000060310.7 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:atp5f1b description:ATP synthase F1 subunit beta [Source:ZFIN;Acc:ZDB-GENE-030131-124]	atp5b	19907033845.4363	21683140407.7081	21047541063.3468	19750806464.2999	19914903327.0148	19792375641.2416	18371219337.1439	17648583946.6548	18589276848.6615	15747510524.1354	16457078912.5923	16155748858.5593	16755591630.2811	16197447716.631	15830553834.2699	13321748325.704	11962954824.51	11408303242.5102	NA	NA	NA	NA	NA	NA	NA
vitellogenin-like [Danio rerio]	LOC110438452	15869797493.0929	21606794585.1767	21132898660.3366	28053513880.3907	31874763811.3973	26910928433.7597	38138483436.892	45093909650.2364	37143050620.1157	56835719556.0831	52714940723.5799	50708033629.3695	54097781175.6601	59966341070.4529	53683982512.9833	49023326529.4948	62106559875.8301	62572978255.9275	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:21:5080789:5092539:1 gene:ENSDARG00000010149.9 transcript:ENSDART00000024199.8 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:atp5fa1 description:ATP synthase F1 subunit alpha [Source:ZFIN;Acc:ZDB-GENE-060201-1]	atp5a1	13269610773.172	13885179810.2418	13323384330.0363	12619743775.2358	12849904901.0675	12786707658.7192	11441345867.9951	11334134051.9158	11908631444.1044	10173914321.9443	10440056212.6811	11021565943.5843	10762796568.6486	10731390491.5182	10847828566.3386	8655402389.46081	8128568274.29444	8152079434.41148	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:9:32301125:32305007:1 gene:ENSDARG00000056167.7 transcript:ENSDART00000143103.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:hspe1 description:heat shock 10 protein 1 [Source:ZFIN;Acc:ZDB-GENE-000906-2]	hspe1	12066768698.5087	10995098645.955	10387362838.9425	8558645897.59079	9265177085.45065	8729097555.76051	7772750444.95771	8125106884.77183	7776420032.42446	6508749705.44673	6909574449.62755	7520855115.68869	7400992564.39285	8038235260.50018	7457475530.2803	6296125389.74124	5247522044.18241	6374461669.68286	ENSDARG00000056167	ENSDART00000143103,ENSDART00000144947,ENSDART00000127916,ENSDART00000185153,ENSDART00000183298,ENSDART00000078608	ENSDARP00000118521,ENSDARP00000120081,ENSDARP00000108249,ENSDARP00000155788,ENSDARP00000152671,ENSDARP00000073069	hspe1-203,hspe1-204,hspe1-202,hspe1-206,hspe1-205,hspe1-201		protein_coding	heat_shock_10_protein_1_[Source:ZFIN;Acc:ZDB-GENE-000906-2]
pep chromosome:GRCz11:10:33382858:33394568:1 gene:ENSDARG00000043371.6 transcript:ENSDART00000063662.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mdh2 description:malate dehydrogenase 2, NAD (mitochondrial) [Source:ZFIN;Acc:ZDB-GENE-040426-2143]	mdh2	11728768328.5403	11980262968.2487	11783859122.9208	11259724533.357	11495012432.8913	11024662056.9739	10134102677.9259	10281844925.2969	11002351705.3192	8650086727.45282	9385206065.04628	9285914663.19603	9350415390.33759	9963531624.62239	8992294075.48832	7181565229.63444	6671941779.63333	6682023427.26883	ENSDARG00000043371	ENSDART00000063662	ENSDARP00000063661	mdh2-201		protein_coding	malate_dehydrogenase_2,_NAD_(mitochondrial)_[Source:ZFIN;Acc:ZDB-GENE-040426-2143]
pep chromosome:GRCz11:14:32881625:32884138:-1 gene:ENSDARG00000092553.4 transcript:ENSDART00000105726.4 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:slc25a5 description:solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:ZFIN;Acc:ZDB-GENE-020419-9]	slc25a5	10053649066.1848	10261318908.681	10610762027.3024	9387750549.84889	9080232774.37864	9654269382.4333	8816072863.77482	8830349234.64405	9079517213.42972	7625803401.22159	8392637546.04287	8073718232.67009	8123905226.029	8355585917.78385	7968562245.30179	8840918310.13618	7432914817.9767	7658629923.91346	ENSDARG00000092553	ENSDART00000105726,ENSDART00000140369	ENSDARP00000096504,	slc25a5-201,slc25a5-202		protein_coding	solute_carrier_family_25_member_5_[Source:ZFIN;Acc:ZDB-GENE-020419-9]
pep chromosome:GRCz11:9:32286605:32300783:-1 gene:ENSDARG00000056160.6 transcript:ENSDART00000078596.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:hspd1 description:heat shock 60 protein 1 [Source:ZFIN;Acc:ZDB-GENE-021206-1]	hspd1	9746452929.17976	7546236079.22115	7786850948.37195	7475268677.814	7840481361.13533	7221660304.47149	6721987159.68181	6989507797.33111	7062227924.03774	5849848650.97311	5972078982.45897	5856084673.66176	6155183949.83275	5987169750.34839	5882982481.85701	5553098495.53066	4556903824.62783	5078029353.59002	ENSDARG00000056160	ENSDART00000078596,ENSDART00000127938	ENSDARP00000073057,ENSDARP00000107955	hspd1-201,hspd1-202		protein_coding	heat_shock_60_protein_1_[Source:ZFIN;Acc:ZDB-GENE-021206-1]
pep chromosome:GRCz11:19:84052:85593:-1 gene:ENSDARG00000067975.5 transcript:ENSDART00000087242.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:atp5if1a description:ATP synthase inhibitory factor subunit 1a [Source:ZFIN;Acc:ZDB-GENE-070410-36]	atpif1; atpif1a	9642591230.3002	5305514721.11731	5292632406.3423	4505087885.96058	4044734022.35652	4255291447.77075	4991687487.41397	4413060856.22652	3766631426.18853	2667735250.90596	4399010309.33072	2971392800.61816	3149370318.66848	4130167374.90299	3342575374.47719	2948715871.37605	2813527096.81843	3200222523.50355	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:1:49432137:49434892:-1 gene:ENSDARG00000096003.3 transcript:ENSDART00000150789.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:atp5md description:ATP synthase membrane subunit DAPIT [Source:ZFIN;Acc:ZDB-GENE-110914-234]	LOC794625; si:dkeyp-80c12.10	7143155398.53711	4752873716.25363	5315327972.61773	4891066173.34296	4724241369.04727	5072619048.1375	4745141143.53782	4375523929.35799	4333540621.64134	3974121931.57533	4314536200.25237	2734007213.96432	4292532779.51109	3021011812.92571	3322196828.2484	4195964958.2084	3139974518.69206	3211964171.03564	NA	NA	NA	NA	NA	NA	NA
Trypsin OS=Sus scrofa PE=1 SV=1	NA	7049942232.3505	8622475196.56265	10039611428.9852	8639909757.35754	9091121494.27042	8818814539.11974	9642728213.39893	9282368562.957	9881865641.35856	11971130583.3999	8958758842.77088	5925504499.7019	11209164240.3453	8593405400.20509	6307656856.30387	11008391686.5282	5475748963.16301	10753666483.1841	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:16:12505216:12512568:-1 gene:ENSDARG00000037860.7 transcript:ENSDART00000055161.5 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:cox6b2 description:cytochrome c oxidase subunit 6B2 [Source:ZFIN;Acc:ZDB-GENE-040426-1566]	cox6b2	6820191527.09134	5690834015.94954	5601888613.70662	5328106387.69301	5310948286.61308	5311629236.78984	4673602053.40134	4784485665.23331	4934267062.83594	4098078667.24795	4100072493.24707	4273268235.40518	4545207657.48584	3966329555.01296	4202113184.6958	3965075009.4117	3433412767.34538	3361070013.12503	ENSDARG00000037860	ENSDART00000055161,ENSDART00000155829,ENSDART00000156223,ENSDART00000160906	ENSDARP00000055160,,ENSDARP00000140452	cox6b2-201,cox6b2-202,cox6b2-203,cox6b2-204		protein_coding	cytochrome_c_oxidase_subunit_6B2_[Source:ZFIN;Acc:ZDB-GENE-040426-1566]
pep chromosome:GRCz10:22:24703538:24830407:-1 gene:ENSDARG00000078429.5 transcript:ENSDART00000114647.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:vtg4 description:vitellogenin 4 [Source:ZFIN;Acc:ZDB-GENE-001201-3]	NA	6295073708.87739	7896719674.83626	7938983239.19735	10314286440.0783	11543377346.7307	9731110894.52276	13743072641.4045	16519984791.4947	13353335862.4824	20918842354.668	19789130092.7765	17524697659.7298	20242442872.8729	22397836640.7387	17891774032.5171	17474815722.6753	21297582514.3436	22131018629.1134	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:8:39760258:39765996:1 gene:ENSDARG00000022438.6 transcript:ENSDART00000037914.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:cox6a1 description:cytochrome c oxidase subunit 6A1 [Source:ZFIN;Acc:ZDB-GENE-030131-7715]	cox6a1	6268988035.22337	6051733427.86572	6065603889.97592	5018170512.44328	4955575305.74507	4881676828.33029	4941063652.69977	4612642625.70115	4577980927.07041	3530230028.68675	4286132825.41449	3158628821.05537	3944169728.81054	3808059113.56106	3094888629.98675	2926573243.4815	2669134758.49967	2073706950.67145	ENSDARG00000022438	ENSDART00000037914,ENSDART00000145112	ENSDARP00000038172,	cox6a1-201,cox6a1-202		protein_coding	cytochrome_c_oxidase_subunit_6A1_[Source:ZFIN;Acc:ZDB-GENE-030131-7715]
pep chromosome:GRCz11:18:30507839:30510241:1 gene:ENSDARG00000032970.6 transcript:ENSDART00000026866.8 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:cox4i1 description:cytochrome c oxidase subunit 4I1 [Source:ZFIN;Acc:ZDB-GENE-030131-5175]	cox4i1	5747974050.82967	5075673237.40331	4576131092.47848	4726263787.15397	4796192321.24829	4641967861.77458	4038385234.09509	4080498130.63816	4398937291.96903	3567220214.34877	3428994754.15941	3362066386.48081	3969725400.8094	3124170888.32702	3084005353.74996	3153267991.69438	2633756332.23037	2894223800.29578	ENSDARG00000032970	ENSDART00000026866,ENSDART00000185140	ENSDARP00000007446,ENSDARP00000154832	cox4i1-201,cox4i1-202		protein_coding	cytochrome_c_oxidase_subunit_4I1_[Source:ZFIN;Acc:ZDB-GENE-030131-5175]
pep chromosome:GRCz11:5:69597166:69620722:-1 gene:ENSDARG00000028087.9 transcript:ENSDART00000097248.5 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:aldh2.2 description:aldehyde dehydrogenase 2 family member, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030326-5]	NA	5396591327.68883	4761933055.80749	5544027131.33037	5647877257.11232	5028543452.63766	4545313734.40349	5386105002.93346	3942796273.33009	5386642659.23865	3621596753.58586	3815204172.39648	3423573822.19295	4681565946.06203	3688471882.46632	3230995681.36704	2524569833.13346	2558209075.41424	2167421409.52493	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:10:42374957:42378508:1 gene:ENSDARG00000015978.6 transcript:ENSDART00000147926.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:COX5B description:zgc:86599 [Source:ZFIN;Acc:ZDB-GENE-040625-180]	NA	5370840193.76366	5402911736.65606	5523198698.43578	5231772875.02021	5022036657.04708	5193830843.90366	4927689568.34194	4749820605.97713	4857689102.24555	4029680974.58827	3104870658.27787	3881792887.56348	4342569903.01006	3970457231.41086	3893324162.6269	4089216030.8502	3315352899.06924	3406242047.85337	NA	NA	NA	NA	NA	NA	NA
