Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSDARG00000063344	fam162a	24	20927135	20934666
ENSDARG00000097685		17	50460321	50472985
ENSDARG00000036008	caly	1	49266886	49295059
ENSDARG00000069301	tmem177	9	29034221	29039506
ENSDARG00000104901	ostc	7	59169081	59176338
ENSDARG00000031836	vps37c	1	44949909	44963259
ENSDARG00000103391	rab9b	14	14603731	14607855
ENSDARG00000030463	tppp3	7	35229645	35243976
ENSDARG00000103031		4	55507920	55592720
ENSDARG00000070447	slc39a9	17	48126944	48157178
ENSDARG00000080018	kif16bb	13	34627550	34683370
ENSDARG00000036109	mtx1b	19	24448584	24484758
ENSDARG00000029612	gpkow	8	36591791	36618073
ENSDARG00000075759	samd4a	17	15033822	15117508
ENSDARG00000068484		11	44324761	44335322
ENSDARG00000057635	dync2i2	21	13217896	13225402
ENSDARG00000032737	gria3a	5	23353570	23429228
ENSDARG00000053517	EML5	17	43039463	43287290
ENSDARG00000111826	zgc:174354	11	12450564	12452482
ENSDARG00000098335		4	36875204	36875984
ENSDARG00000092715		8	26220175	26229796
ENSDARG00000095834		1	46250113	46251822
ENSDARG00000015793	creb3l1	7	38897836	38954874
ENSDARG00000044573	cdc42	11	39120306	39148199
ENSDARG00000025206	syt2a	23	6232895	6313808
ENSDARG00000042189	tspan33b	18	10967461	10995410
ENSDARG00000076270	adamts13	8	45226586	45279411
ENSDARG00000045415	gnal	24	8904135	8973300
ENSDARG00000100099		4	36473781	36484943
ENSDARG00000087916	tmem240a	23	24571812	24582606
ENSDARG00000023058	foxo3a	17	6793001	6810785
ENSDARG00000100738		5	8492640	8526105
ENSDARG00000097888		15	11097869	11099720
ENSDARG00000067711	parvg	25	5068442	5084539
ENSDARG00000091834	si:ch211-198m17.1	3	38705425	38745598
ENSDARG00000068468	DNAH3	24	39443874	39511864
ENSDARG00000101806	or30bu1	10	36354863	36356642
ENSDARG00000105445		11	17093753	17097933
ENSDARG00000078805	ap5b1	11	39112341	39118929
ENSDARG00000058893	nhej1	6	7085889	7109063
ENSDARG00000088881		16	13505064	13516745
ENSDARG00000095893		20	27222849	27225878
ENSDARG00000062376	nlgn3b	5	23283890	23317477
ENSDARG00000039490	pitpnaa	15	28410664	28425011
ENSDARG00000020986	ctu1	8	3431671	3439484
ENSDARG00000098626	nitr12	7	17253149	17258812
ENSDARG00000089187	wfdc2	23	12418613	12423778
ENSDARG00000101165		4	55273988	55275497
ENSDARG00000003175	stx5al	21	26536950	26554325
ENSDARG00000074846	si:dkeyp-68b7.12	2	57953239	57991638
ENSDARG00000026759		6	102506	109626
ENSDARG00000098213		4	55165697	55167082
ENSDARG00000033099	kif7	7	14393059	14446512
ENSDARG00000096970		5	24202623	24228356
ENSDARG00000024184	narf	12	33460794	33474029
ENSDARG00000076901		8	45200860	45202077
ENSDARG00000009341	nrap	12	30586599	30618440
ENSDARG00000100546	or41a1	10	36184751	36186346
ENSDARG00000090804	gpr155a	9	2522797	2560126
ENSDARG00000016977	snx27b	16	23495600	23524374
ENSDARG00000058538	alcamb	15	19838458	19878987
ENSDARG00000102175	hamp	16	50289916	50292583
ENSDARG00000018153	nt5c1ba	13	32446169	32453932
ENSDARG00000054533	araf	5	26856253	26869392
ENSDARG00000092243		8	45035418	45037752
ENSDARG00000038154	isca2	17	43032529	43036291
ENSDARG00000036420	si:dkey-33c9.6	7	20383841	20436781
ENSDARG00000098726	rptor	6	17725788	17999776
ENSDARG00000098677		4	35960020	36033454
ENSDARG00000096511		20	19382427	19385077
ENSDARG00000037652	ints15	1	9873295	9885326
ENSDARG00000027963	camkva	6	42545797	42598328
ENSDARG00000097726	si:ch211-149e23.4	15	15173611	15218956
ENSDARG00000105456		11	43228412	43230364
ENSDARG00000095680		11	38947987	38949751
ENSDARG00000011821	plod2	24	5237709	5314707
ENSDARG00000095576		11	38922744	38924944
ENSDARG00000035875	tmem54b	19	32603627	32619257
ENSDARG00000057074	rpgrb	11	29770966	29790222
ENSDARG00000075181	crfb16	2	5521671	5536927
ENSDARG00000077950	tor1	21	3775551	3787325
ENSDARG00000079355	flrt2	20	11098239	11178022
ENSDARG00000044251	rasgef1bb	10	9159279	9184667
ENSDARG00000096398		6	8339298	8346939
ENSDARG00000003144	pxmp2	5	20115774	20123002
ENSDARG00000016968	tmem214	4	764100	779796
ENSDARG00000090063	fa2h	25	13558992	13614863
ENSDARG00000033789	ndufb7	1	55780128	55785722
ENSDARG00000017522	ctdp1	19	11632834	11846958
ENSDARG00000077860	ankhd1	21	26408016	26483237
ENSDARG00000097025		21	26482517	26489393
ENSDARG00000052097	trim35-31	3	5538485	5555500
ENSDARG00000098675		2	36122310	36122372
ENSDARG00000045015	cyp27b1	11	329687	339847
ENSDARG00000101490	si:ch73-281i18.6	19	3919591	3925886
ENSDARG00000008100	slc7a10a	7	38315647	38340674
ENSDARG00000041340	mrpl51	16	4540981	4547193
ENSDARG00000087757		15	25035947	25039083
ENSDARG00000110990		15	25028482	25054730
ENSDARG00000092491		2	24900571	24901912
ENSDARG00000045873	frs2a	4	2092683	2099581
ENSDARG00000088072	usp43b	3	25546672	25646149
ENSDARG00000096208		4	44954486	44956819
ENSDARG00000070874	asmt2	17	26815021	26826438
ENSDARG00000105588		7	28709931	28717559
ENSDARG00000075339	ipp	2	2994052	3022655
ENSDARG00000045641	usp3	25	26738450	26753196
ENSDARG00000103025	hmgcs1	10	6010570	6034397
ENSDARG00000061439	ugt5c3	18	40471826	40477865
ENSDARG00000102553		2	36098750	36098812
ENSDARG00000104269		16	46093254	46097432
ENSDARG00000052520	sgms2a	1	49933652	49950643
ENSDARG00000018542	hapln4	22	17828267	17831253
ENSDARG00000074253	olig3	13	1305363	1308020
ENSDARG00000078768	abhd15a	15	24946321	24960781
ENSDARG00000100858	zgc:171695	7	2980248	3011514
ENSDARG00000062357	TAFA1	23	18177281	18287618
ENSDARG00000019135	ankef1a	20	34868933	34902205
ENSDARG00000068711	crfb4	9	15936216	16062938
ENSDARG00000043002	vmo1a	3	5403848	5413018
ENSDARG00000090854	lsm11	14	35392736	35405723
ENSDARG00000056683	cdk5	24	33767771	33780387
ENSDARG00000098676		6	27108048	27126829
ENSDARG00000012446	helz2c	7	9008372	9046302
ENSDARG00000078567	lonrf1	8	13700605	13788311
ENSDARG00000021444	prf1.2	19	24161712	24163845
ENSDARG00000029263	hoxb3a	3	23697997	23771945
ENSDARG00000030472	slc16a5a	12	26566422	26587231
ENSDARG00000042515	gpr176	20	28960340	28974309
ENSDARG00000042018	fhl2a	9	6578580	6601988
ENSDARG00000036943	golph3l	19	329808	340641
ENSDARG00000015476	iqch	18	19820008	19880934
ENSDARG00000089954		17	6603691	6641548
ENSDARG00000002355	shpk	5	42124706	42132825
ENSDARG00000069537	si:dkey-238c7.16	18	7479201	7481036
ENSDARG00000044457	gfi1ab	6	29004062	29007493
ENSDARG00000087798	pdyn	23	41799748	41802335
ENSDARG00000101106	si:ch73-109d9.3	1	44027611	44037843
ENSDARG00000093521	b3gnt3.3	8	13597405	13600274
ENSDARG00000045443	agtr1b	24	4767806	4782052
ENSDARG00000058958	si:ch73-106l15.3	3	5344999	5362347
ENSDARG00000019293	tfdp1a	9	34950942	34968429
ENSDARG00000094455		21	12584756	12607941
ENSDARG00000097849		3	23686198	23686700
ENSDARG00000078167	si:dkeyp-100h4.1	4	44470531	44518893
ENSDARG00000115890		22	1708760	1713309
ENSDARG00000101085	ss18l2	18	328689	330937
ENSDARG00000007250	use1	22	11070842	11079068
ENSDARG00000113690		4	54316804	54338253
ENSDARG00000011449	fes	7	14211322	14266466
ENSDARG00000099200	zgc:123103	19	42547699	42551338
ENSDARG00000040250		1	1915967	1923253
ENSDARG00000044753	idh3b	21	15733880	15749719
ENSDARG00000006560	irf4a	2	854444	879800
ENSDARG00000099086		14	32074541	32148201
ENSDARG00000074302	gpr183b	1	30551777	30554973
ENSDARG00000061371	cdh18a	2	29249204	29353179
ENSDARG00000063574	mtg2	23	547107	552539
ENSDARG00000086471	pkig	23	25879320	25942859
ENSDARG00000002377	mief2	1	8521323	8532009
ENSDARG00000052129	boka	6	27062512	27089014
ENSDARG00000098029	si:ch211-129o18.4	23	29333851	29357764
ENSDARG00000097268		24	39117499	39118364
ENSDARG00000059773	SRCIN1	3	37235924	37476475
ENSDARG00000095453	si:rp71-17i16.6	23	20340200	20345473
ENSDARG00000097673		7	65756041	65757798
ENSDARG00000056740	tmeff1b	24	33708804	33756003
ENSDARG00000033446	tap2t	12	26546820	26559650
ENSDARG00000099899		4	34468977	34480599
ENSDARG00000077253	alkbh6	5	36650064	36654698
ENSDARG00000096836		8	29581495	29635923
ENSDARG00000105063		4	34443650	34480611
ENSDARG00000100694	TNNT2	6	54761141	54796072
ENSDARG00000093799	setbp1	5	52039067	52132978
ENSDARG00000092995		24	14623831	14636303
ENSDARG00000052851	golph3a	5	41082534	41103644
ENSDARG00000009844	dusp23a	20	43113465	43118411
ENSDARG00000018871	henmt1	20	33744065	33749174
ENSDARG00000102608	zgc:109986	17	10062045	10073926
ENSDARG00000003818	prkag1	6	2206495	2222707
ENSDARG00000019156	haus5	8	20897849	20914829
ENSDARG00000038615	pip4p1a	2	44383175	44398611
ENSDARG00000092774		18	210838	226800
ENSDARG00000092082		22	14995782	14996591
ENSDARG00000087457	ecscr	21	29077509	29088928
ENSDARG00000034734	med6	13	36135122	36141486
ENSDARG00000079283	si:ch211-247j9.1	21	32332616	32349711
ENSDARG00000021913	ak9	20	33708318	33737831
ENSDARG00000105120	gab2	15	9444982	9593532
ENSDARG00000098157		3	8933639	8934476
ENSDARG00000102929	C18H19orf12	7	45992048	45993499
ENSDARG00000073688		7	16806473	17015002
ENSDARG00000103180		9	48713222	48713994
ENSDARG00000090814		10	33561567	33572441
ENSDARG00000027141	ube2l3b	5	13337507	13353905
ENSDARG00000102434		11	13366773	13413971
ENSDARG00000099967		23	44553647	44565769
ENSDARG00000095872		22	6661712	6662906
ENSDARG00000052142	acvr1bb	6	2174082	2198683
ENSDARG00000093111		22	6613020	6690829
ENSDARG00000069758	rbm44	9	22656976	22672826
ENSDARG00000039218	gpr101	14	31890001	31893996
ENSDARG00000010717	chchd10	21	15704556	15708626
ENSDARG00000020449	yipf3	13	3938526	3950673
ENSDARG00000038792	klf17	2	33326522	33328688
ENSDARG00000095204		18	30129771	30131831
ENSDARG00000017163	sinup	4	20176143	20177868
ENSDARG00000044015	GFRA2	10	19723025	19801821
ENSDARG00000101456	acp5b	24	31294019	31306724
ENSDARG00000076801	arap3	14	26566936	26626130
ENSDARG00000003206	chchd6a	23	34047413	34185019
ENSDARG00000105543		7	38245927	38247747
ENSDARG00000078686	arl8a	22	710759	718615
ENSDARG00000017835	brf1a	13	33368140	33449639
ENSDARG00000044318		6	39703232	39727244
ENSDARG00000076025	DGKZ	25	7784582	7866470
ENSDARG00000009253	rtraf	17	14784258	14794741
ENSDARG00000062549	acmsd	9	23244292	23253870
ENSDARG00000037262	cdkn2a/b	1	26127818	26131088
ENSDARG00000075855	adgre10	1	55730205	55747003
ENSDARG00000037555	atoh8	14	9507291	9522364
ENSDARG00000038976	ubap1lb	7	13684012	13737618
ENSDARG00000039349	QRFPR	13	30215765	30225311
ENSDARG00000036588	mhc1zba	1	47155424	47161996
ENSDARG00000098257	pcdh15a	13	41125358	41546779
ENSDARG00000059351	hnrnpa3	9	1692926	1703801
ENSDARG00000105553		7	40866815	40884705
ENSDARG00000078717	itga8	16	28383758	28512860
ENSDARG00000024219	cdk5rap2	21	4647784	4695583
ENSDARG00000102612	slc15a4	8	35809081	35960987
ENSDARG00000075818		8	42545757	42594484
ENSDARG00000063006	cacng7a	19	9840771	9882821
ENSDARG00000097115		17	30140099	30205302
ENSDARG00000055560	P2RY8	9	34884933	34885902
ENSDARG00000099099		4	76838989	76891899
ENSDARG00000024771	slc24a5	18	5213338	5227420
ENSDARG00000052846	fsta	5	40504910	40510399
ENSDARG00000092855	SRBD1	13	9896368	10004186
ENSDARG00000014024	ms4a17a.4	4	76752707	76762432
ENSDARG00000100531	abhd14b	6	53429228	53435711
ENSDARG00000101319	si:ch73-299h12.6	21	2289254	2299002
ENSDARG00000055445	slc22a15	17	19499157	19511206
ENSDARG00000089750	si:dkey-26g8.5	12	16919411	16923162
ENSDARG00000078529	ADGRB1	19	92570	103289
ENSDARG00000094550		22	30497494	30499478
ENSDARG00000091169	tor4ab	5	9894143	9948497
ENSDARG00000052010	ciao2b	7	44965773	44970994
ENSDARG00000098075	sh3bgrl3	19	13939750	13950231
ENSDARG00000093164		22	24673168	24683002
ENSDARG00000093780		15	20960069	20978248
ENSDARG00000069595	prr36a	1	45707219	45744854
ENSDARG00000093621		10	8688678	8697787
ENSDARG00000045070	itgb3b	12	26434478	26461744
ENSDARG00000055901	steap4	16	27734872	27749172
ENSDARG00000093608	ccl34b.1	24	27396989	27400630
ENSDARG00000023111	plg	20	42688488	42702884
ENSDARG00000020197	rpl5a	2	10687276	10703621
ENSDARG00000040930	deptor	16	14588141	14675907
ENSDARG00000099685	gnb5a	25	4837915	4851181
ENSDARG00000051729	nfatc3b	25	36219436	36248053
ENSDARG00000098514		4	42403742	42408339
ENSDARG00000077778	adamts9	11	19157879	19227802
ENSDARG00000057227	matcap2	19	23875382	23895839
ENSDARG00000092014		13	40754580	40808436
ENSDARG00000043431	b3gntl1	1	57347888	57365052
ENSDARG00000029905	phyhd1	21	4508959	4525080
ENSDARG00000077082	agtrap	11	16040517	16064291
ENSDARG00000077581	zzz3	2	8778490	8842472
ENSDARG00000018593	parp16	25	31868268	31882618
ENSDARG00000079455	nlgn4xa	1	32521469	32693950
ENSDARG00000071648	zgc:113298	22	6342781	6362472
ENSDARG00000095337		7	4493556	4494895
ENSDARG00000097225		16	24842662	24873020
ENSDARG00000097063	sparcl2	17	26543690	26552971
ENSDARG00000094616		9	8390737	8393808
ENSDARG00000002509	zgc:153911	13	35974362	35976986
ENSDARG00000027826	pudp	1	32341484	32385665
ENSDARG00000010408		8	4856440	4892913
ENSDARG00000054031	mxd4	1	26071869	26096572
ENSDARG00000062987	tyw1	15	16739160	16872600
ENSDARG00000004296	ambp	10	10801564	10824286
ENSDARG00000039880	arpp19b	25	7653902	7663608
ENSDARG00000035860	rps28	2	24507597	24509698
ENSDARG00000041078	chka	18	21122818	21145374
ENSDARG00000023298	rps27.1	19	8743260	8748571
ENSDARG00000104332		7	53199763	53212294
ENSDARG00000075112	tacr3a	1	43801957	43892349
ENSDARG00000002219	si:dkey-103j14.5	13	23233956	23270576
ENSDARG00000098889		5	1079423	1084174
ENSDARG00000079391	mrpl42	4	1821637	1824836
ENSDARG00000074306	ctslb	12	16691584	16694092
ENSDARG00000093010		9	33074680	33082181
ENSDARG00000096588		1	55563532	55574266
ENSDARG00000105603		7	16348739	16349432
ENSDARG00000093645		24	14533842	14536411
ENSDARG00000040021	ebag9	16	39185103	39195318
ENSDARG00000036893	f13a1b	7	8267985	8344243
ENSDARG00000013266	colec11	17	36516695	36529449
ENSDARG00000042937		1	17618015	17650223
ENSDARG00000111173		25	15510884	15512819
