GeneID	Name	ProteinID	LFC_2hpf/Egg	LFC_4hpf/Egg	LFC_6hpf/Egg	LFC_8hpf/Egg	LFC_24hpf/Egg	Padj_2hpf/Egg	Padj_4hpf/Egg	Padj_6hpf/Egg	Padj_8hpf/Egg	Padj_24hpf/Egg	Gene_name	Gene_stable_ID	Transcript_stable_ID	Protein_stable_ID	Transcript_name	Gene_Synonym	Gene_type	Gene_description
ENSDARG00000102441	ctnna1	ENSDARP00000132933	5.06321682805122	5.66660805278751	5.95923561208323	6.32298979372898	6.69852691829202	3.27995227400425e-07	3.74719140723648e-08	5.7802920498827e-09	2.19566283448765e-09	2.59962816143027e-10	ctnna1	ENSDARG00000102441	ENSDART00000171009	ENSDARP00000132933	ctnna1-201		protein_coding	catenin_(cadherin-associated_protein),_alpha_1_[Source:ZFIN;Acc:ZDB-GENE-991207-24]
ENSDARG00000100374	txnrd3	ENSDARP00000135844	2.63102572461634	3.22183666446967	3.99073358116911	4.70029218453004	3.85700847075049	1.27235578696987e-06	5.50047368870691e-08	3.24776699628195e-09	4.55288568079245e-10	4.482830182502e-10	txnrd3	ENSDARG00000100374	ENSDART00000172544,ENSDART00000191756	ENSDARP00000135844,ENSDARP00000153083	txnrd3-201,txnrd3-202		protein_coding	thioredoxin_reductase_3_[Source:ZFIN;Acc:ZDB-GENE-030327-3]
ENSDARG00000099786	actn4	ENSDARP00000153540	3.9016596440212	5.66701288599022	5.92399892658976	6.09533507343626	6.04645206041545	1.35593269618278e-06	3.74719140723648e-08	3.50386056765607e-09	1.53155027969279e-09	3.51123630055112e-10	actn4	ENSDARG00000099786	ENSDART00000182528,ENSDART00000172154,ENSDART00000187688	ENSDARP00000153540,ENSDARP00000132801,ENSDARP00000150996	actn4-202,actn4-201,actn4-203		protein_coding	actinin,_alpha_4_[Source:ZFIN;Acc:ZDB-GENE-030131-940]
ENSDARG00000021124	cfl1	ENSDARP00000023177	1.32530094804544	1.69156500169887	2.3069582598699	2.4429571333005	2.11431480627698	2.8949752353522e-06	9.79880981809556e-08	2.85799719093492e-09	7.60072170520954e-10	5.88017978889683e-10	cfl1	ENSDARG00000021124	ENSDART00000144817,ENSDART00000006132	,ENSDARP00000023177	cfl1-202,cfl1-201		protein_coding	cofilin_1_[Source:ZFIN;Acc:ZDB-GENE-030131-215]
ENSDARG00000104889	kpnb1	ENSDARP00000135519	3.2282141517189	4.75457893224785	5.02475992101334	5.02732500422683	4.81315814716388	4.8405749817833e-06	6.02844191645652e-08	1.03027846920422e-08	7.24898600998803e-09	3.54148971176642e-09	kpnb1	ENSDARG00000104889	ENSDART00000163823	ENSDARP00000135519	kpnb1-201		protein_coding	karyopherin_(importin)_beta_1_[Source:ZFIN;Acc:ZDB-GENE-030131-2579]
ENSDARG00000016173	cct3	ENSDARP00000004738	3.17392392897229	3.97116617684419	4.95602186828603	5.50559142809217	5.77476801918825	4.8405749817833e-06	2.81802695727578e-07	1.03027846920422e-08	2.74375899313491e-09	4.09636206150276e-10	cct3	ENSDARG00000016173	ENSDART00000134538,ENSDART00000003752,ENSDART00000138610,ENSDART00000147289	,ENSDARP00000004738	cct3-202,cct3-201,cct3-203,cct3-204		protein_coding	chaperonin_containing_TCP1,_subunit_3_(gamma)_[Source:ZFIN;Acc:ZDB-GENE-020419-5]
ENSDARG00000034823	copg2	ENSDARP00000043659	3.49255343567305	3.37797434167596	3.21286466535188	3.02494805651817	2.02595087954174	4.8405749817833e-06	2.68376541901582e-06	1.71362573413659e-06	2.58376066551979e-06	5.81674737024258e-05	copg2	ENSDARG00000034823	ENSDART00000043660,ENSDART00000144099	ENSDARP00000043659,	copg2-201,copg2-202		protein_coding	COPI_coat_complex_subunit_gamma_2_[Source:ZFIN;Acc:ZDB-GENE-000208-8]
ENSDARG00000005162	tpm3	ENSDARP00000012717	2.75008784158933	3.55279626197043	3.7520056210292	4.11131522237564	4.71528311236381	8.42719333173742e-06	3.35269152920965e-07	6.4292923842127e-08	1.78846557955059e-08	1.33961865031958e-09	tpm3	ENSDARG00000005162	ENSDART00000137865,ENSDART00000188025,ENSDART00000183745,ENSDART00000010997,ENSDART00000151375,ENSDART00000027598	ENSDARP00000113122,ENSDARP00000149575,ENSDARP00000151109,ENSDARP00000012717,ENSDARP00000125941,ENSDARP00000004352	tpm3-203,tpm3-206,tpm3-205,tpm3-201,tpm3-204,tpm3-202		protein_coding	tropomyosin_3_[Source:ZFIN;Acc:ZDB-GENE-030826-16]
ENSDARG00000031214	arcn1b	ENSDARP00000047901	3.70405073040101	3.34895292310797	3.1362211370299	2.27184758850519	1.56572264635818	1.07659782166111e-05	1.05521907412164e-05	8.39409625333762e-06	0.000129971259869594	0.00141763219737413	arcn1b	ENSDARG00000031214	ENSDART00000047902,ENSDART00000131639	ENSDARP00000047901,ENSDARP00000113128	arcn1b-201,arcn1b-202		protein_coding	archain_1b_[Source:ZFIN;Acc:ZDB-GENE-040121-7]
ENSDARG00000039007	eno3	ENSDARP00000148728	1.3663032461565	1.79687729952981	2.48998233633363	2.63884677872002	2.4447527302519	1.23127467064822e-05	4.09186787263711e-07	7.88536427422873e-09	2.74375899313491e-09	1.52540590251735e-09	eno3	ENSDARG00000039007	ENSDART00000132361,ENSDART00000145902,ENSDART00000135298,ENSDART00000188379,ENSDART00000145905,ENSDART00000135824	ENSDARP00000115703,,ENSDARP00000148728,ENSDARP00000120742	eno3-201,eno3-204,eno3-202,eno3-206,eno3-205,eno3-203		protein_coding	enolase_3,_(beta,_muscle)_[Source:ZFIN;Acc:ZDB-GENE-031006-5]
ENSDARG00000017891	tcp1	ENSDARP00000104575	1.77596162274863	2.72312720525312	3.84839200917111	4.22109294333916	4.85145974917477	1.23127467064822e-05	1.18539072484616e-07	2.85799719093492e-09	5.75870493472057e-10	1.6428759921274e-11	tcp1	ENSDARG00000017891	ENSDART00000126038,ENSDART00000180200	ENSDARP00000104575,ENSDARP00000148755	tcp1-201,tcp1-202		protein_coding	t-complex_1_[Source:ZFIN;Acc:ZDB-GENE-990714-24]
